Region,Region_Name,Period,Secondary Culture,Area (ha),Culture,Cultivation practices,Type of crop,Sowing method,Sowing method name,Variety Name,Variety type,Variety type name,Variety cycle,Cultivation conditions,Cultivation_condition,Cause of poor conditions,Quantity of seeds used (kg),Classified seed quantity (kg),Type of spacing,Type of irrigation,Type of irrigation name,Quantity of organic fertiliser (kg),Quantity of chemical fertiliser (kg),Quantity of plant protection product (L),Agricultural Equipment,Agricultural Equipment Name,Harvester used,Destination production,Destination production name,Technical support,Technical support name,Estimated production (tonnes),Number of growing days,Dry weight (g/m2) /1001,Humidity level/10 (%),Weight of rice without moisture (g/m2) /1000,Yield (T/Ha)
1,Bongolava,2,0,1.53,1,1,3,3,Broadcast sowing,2,2,Local/traditional variety,2,2,Poor,3,45,1,3,1,Gravity irrigation,183.6,166.77,12.24,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,4.59,162,0.029376,0.16,0.029328998,0.293289984
1,Bongolava,2,0,2.49,1,1,2,3,Broadcast sowing,11,2,Local/traditional variety,2,4,Good,0,135,2,4,2,Motorised irrigation,126.99,79.68,14.94,2,Animal Drawn Equipment,1,2,Self-Consumption,5,Vulgarisation,12.45,155,0.047808,0.15,0.047736288,0.47736288
1,Bongolava,2,0,2.04,1,1,3,2,In-line transplanting,51,2,Local/traditional variety,2,2,Poor,3,114,2,4,2,Motorised irrigation,102,171.36,18.36,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,10.2,80,0.039168,0.23,0.039077914,0.390779136
2,Itasy,2,0,1.48,1,1,3,3,Broadcast sowing,13,2,Local/traditional variety,2,3,Average,2,81,1,3,2,Motorised irrigation,72.52,112.48,2.96,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,7.4,96,0.028416,0.19,0.02836201,0.283620096
2,Itasy,2,0,3.07,1,1,3,2,In-line transplanting,16,2,Local/traditional variety,1,3,Average,2,175,2,3,2,Motorised irrigation,178.06,181.13,21.49,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,15.35,86,0.345682,0.12,0.345267182,3.452671816
2,Itasy,2,0,2.71,1,1,3,4,Direct row sowing,63,2,Local/traditional variety,2,5,Very Good,0,202,3,2,1,Gravity irrigation,168.02,235.77,10.84,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,10.84,143,0.305146,0.13,0.30474931,3.047493102
5,Vatovavy,1,0,0.17,1,1,1,3,Broadcast sowing,25,2,Local/traditional variety,1,3,Average,3,8,1,3,3,Rain water irrigation,25.33,9.35,0.17,1,Manual Equipment,2,1,Sale,2,Seed Donation,0.68,23,0.03264,0.11,0.032604096,0.32604096
4,Boeny,1,0,0.28,1,1,1,1,Random transplanting,6,2,Local/traditional variety,2,2,Poor,2,16,1,3,3,Rain water irrigation,14.28,13.72,2.8,1,Manual Equipment,2,1,Sale,1,Financial aid,0.84,55,0.05376,0.17,0.053668608,0.53668608
4,Boeny,1,0,0.62,1,1,1,1,Random transplanting,2,2,Local/traditional variety,2,3,Average,2,29,1,4,3,Rain water irrigation,34.72,14.88,6.2,1,Manual Equipment,2,1,Sale,1,Financial aid,2.48,23,0.011904,0.12,0.011889715,0.118897152
3,Diana,2,0,1.84,1,1,3,3,Broadcast sowing,9,2,Local/traditional variety,1,3,Average,3,97,1,3,2,Motorised irrigation,42.32,93.84,11.04,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,9.2,157,0.035328,0.17,0.035267942,0.352679424
2,Itasy,2,0,4.64,1,1,3,3,Broadcast sowing,14,2,Local/traditional variety,2,4,Good,0,258,3,3,2,Motorised irrigation,171.68,74.24,32.48,2,Animal Drawn Equipment,1,2,Self-Consumption,5,Vulgarisation,18.56,101,0.522464,0.12,0.521837043,5.218370432
5,Vatovavy,1,0,0.19,1,1,1,3,Broadcast sowing,64,2,Local/traditional variety,2,2,Poor,2,10,1,3,3,Rain water irrigation,19.57,4.18,0.57,1,Manual Equipment,2,1,Sale,1,Financial aid,0.57,75,0.03648,0.16,0.036421632,0.36421632
5,Vatovavy,1,0,0.19,1,1,1,3,Broadcast sowing,15,2,Local/traditional variety,2,2,Poor,2,5,1,4,3,Rain water irrigation,16.34,18.81,0.57,1,Manual Equipment,2,1,Sale,2,Seed Donation,0.95,42,0.03648,0.16,0.036421632,0.36421632
4,Boeny,1,0,0.12,1,1,1,2,In-line transplanting,42,2,Local/traditional variety,2,2,Poor,2,4,1,4,3,Rain water irrigation,13.8,10.68,0.96,1,Manual Equipment,2,1,Sale,1,Financial aid,0.48,32,0.02304,0.2,0.02299392,0.2299392
2,Itasy,2,0,4.3,1,1,2,3,Broadcast sowing,41,2,Local/traditional variety,2,5,Very Good,0,231,3,3,2,Motorised irrigation,301,283.8,12.9,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,12.9,86,0.48418,0.15,0.48345373,4.8345373
3,Diana,2,0,3.3,1,1,3,4,Direct row sowing,24,2,Local/traditional variety,1,2,Poor,2,209,3,1,2,Motorised irrigation,244.2,316.8,33,2,Animal Drawn Equipment,1,2,Self-Consumption,4,Support/Advice,9.9,121,0.37158,0.11,0.371171262,3.71171262
2,Itasy,2,0,3.88,1,1,3,1,Random transplanting,13,2,Local/traditional variety,2,2,Poor,3,193,2,4,2,Motorised irrigation,547.08,283.24,3.88,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,11.64,192,0.436888,0.13,0.436320046,4.363200456
1,Bongolava,2,0,6.19,1,1,2,2,In-line transplanting,48,2,Local/traditional variety,1,5,Very Good,0,130,2,4,1,Gravity irrigation,476.63,105.23,37.14,2,Animal Drawn Equipment,1,2,Self-Consumption,0,None,24.76,187,0.696994,0.17,0.69580911,6.958091102
2,Itasy,2,0,2.08,1,1,3,4,Direct row sowing,4,2,Local/traditional variety,2,4,Good,0,205,3,2,2,Motorised irrigation,37.44,143.52,16.64,2,Animal Drawn Equipment,1,2,Self-Consumption,5,Vulgarisation,10.4,152,0.039936,0.11,0.03989207,0.398920704
1,Bongolava,2,0,5.92,1,1,3,2,In-line transplanting,39,2,Local/traditional variety,1,5,Very Good,0,285,3,4,2,Motorised irrigation,355.2,35.52,53.28,3,Motorized Equipment,1,2,Self-Consumption,1,Financial aid,17.76,134,0.666592,0.17,0.665458794,6.654587936
1,Bongolava,2,0,3.44,1,1,3,1,Random transplanting,60,2,Local/traditional variety,2,3,Average,3,84,1,4,1,Gravity irrigation,319.92,230.48,30.96,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,10.32,115,0.387344,0.15,0.386762984,3.86762984
3,Diana,2,0,3.94,1,1,3,4,Direct row sowing,9,2,Local/traditional variety,1,3,Average,3,364,4,2,1,Gravity irrigation,543.72,70.92,23.64,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,15.76,119,0.443644,0.16,0.44293417,4.429341696
4,Boeny,1,0,0.54,1,1,1,4,Direct row sowing,18,1,Improved seed,3,2,Poor,3,44,1,2,3,Rain water irrigation,42.66,10.26,3.78,1,Manual Equipment,2,1,Sale,2,Seed Donation,1.62,35,0.010368,0.13,0.010354522,0.103545216
2,Itasy,2,0,2.28,1,1,3,3,Broadcast sowing,38,2,Local/traditional variety,2,2,Poor,3,82,1,3,1,Gravity irrigation,25.08,77.52,11.4,2,Animal Drawn Equipment,1,3,Both,3,Training,11.4,136,0.043776,0.18,0.043697203,0.436972032
1,Bongolava,2,0,3.69,1,1,3,1,Random transplanting,8,2,Local/traditional variety,2,2,Poor,2,213,3,4,2,Motorised irrigation,295.2,121.77,7.38,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,14.76,168,0.415494,0.23,0.414538364,4.145383638
2,Itasy,2,0,4.52,1,1,2,1,Random transplanting,39,2,Local/traditional variety,1,3,Average,2,154,2,4,1,Gravity irrigation,167.24,397.76,22.6,3,Motorized Equipment,1,2,Self-Consumption,1,Financial aid,22.6,200,0.508952,0.23,0.50778141,5.077814104
4,Boeny,1,0,0.85,1,1,1,2,In-line transplanting,16,2,Local/traditional variety,1,1,Very poor,2,38,1,4,3,Rain water irrigation,96.05,65.45,5.95,1,Manual Equipment,2,1,Sale,2,Seed Donation,4.25,88,0.01632,0.1,0.01630368,0.1630368
4,Boeny,1,0,0.48,1,1,1,2,In-line transplanting,34,2,Local/traditional variety,2,2,Poor,2,12,1,3,3,Rain water irrigation,60,44.16,0.96,1,Manual Equipment,2,1,Sale,1,Financial aid,2.4,30,0.09216,0.13,0.092040192,0.92040192
5,Vatovavy,1,0,0.98,1,1,1,4,Direct row sowing,18,1,Improved seed,3,2,Poor,3,84,1,1,3,Rain water irrigation,12.74,40.18,7.84,1,Manual Equipment,2,3,Both,2,Seed Donation,2.94,63,0.018816,0.15,0.018787776,0.18787776
4,Boeny,1,0,0.19,1,1,1,4,Direct row sowing,6,2,Local/traditional variety,2,3,Average,2,13,1,1,3,Rain water irrigation,17.48,13.87,1.33,1,Manual Equipment,2,1,Sale,2,Seed Donation,0.76,71,0.03648,0.13,0.036432576,0.36432576
3,Diana,2,0,1.81,1,1,3,4,Direct row sowing,34,2,Local/traditional variety,2,1,Very poor,3,162,2,2,1,Gravity irrigation,153.85,126.7,14.48,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,9.05,94,0.034752,0.11,0.034713773,0.347137728
1,Bongolava,2,0,5.48,1,1,2,2,In-line transplanting,8,2,Local/traditional variety,2,4,Good,0,113,2,3,1,Gravity irrigation,60.28,361.68,27.4,2,Animal Drawn Equipment,1,2,Self-Consumption,5,Vulgarisation,16.44,103,0.617048,0.1,0.616430952,6.16430952
5,Vatovavy,1,0,0.35,1,1,1,2,In-line transplanting,42,2,Local/traditional variety,2,3,Average,3,11,1,3,3,Rain water irrigation,44.1,32.55,1.05,1,Manual Equipment,2,1,Sale,2,Seed Donation,1.4,90,0.0672,0.17,0.06708576,0.6708576
3,Diana,2,0,3.22,1,1,3,3,Broadcast sowing,60,2,Local/traditional variety,2,2,Poor,2,95,1,4,2,Motorised irrigation,32.2,196.42,9.66,2,Animal Drawn Equipment,1,2,Self-Consumption,4,Support/Advice,9.66,91,0.362572,0.18,0.36191937,3.619193704
2,Itasy,2,0,2.26,1,1,2,1,Random transplanting,9,2,Local/traditional variety,1,4,Good,0,112,2,4,1,Gravity irrigation,169.5,237.3,6.78,2,Animal Drawn Equipment,1,3,Both,3,Training,9.04,95,0.043392,0.23,0.043292198,0.432921984
1,Bongolava,2,0,5.94,1,1,3,3,Broadcast sowing,2,2,Local/traditional variety,2,3,Average,2,286,3,3,2,Motorised irrigation,374.22,380.16,47.52,3,Motorized Equipment,1,2,Self-Consumption,1,Financial aid,23.76,116,0.668844,0.17,0.667706965,6.677069652
4,Boeny,1,0,0.91,1,1,1,3,Broadcast sowing,5,2,Local/traditional variety,2,3,Average,2,54,1,4,3,Rain water irrigation,46.41,10.92,7.28,1,Manual Equipment,2,3,Both,2,Seed Donation,4.55,46,0.017472,0.12,0.017451034,0.174510336
1,Bongolava,2,0,3.87,1,1,3,1,Random transplanting,9,2,Local/traditional variety,1,5,Very Good,0,81,1,4,1,Gravity irrigation,278.64,220.59,15.48,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,15.48,140,0.435762,0.18,0.434977628,4.349776284
2,Itasy,2,0,2.9,1,1,3,1,Random transplanting,7,2,Local/traditional variety,2,5,Very Good,0,72,1,4,2,Motorised irrigation,394.4,107.3,29,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,8.7,109,0.32654,0.16,0.326017536,3.26017536
5,Vatovavy,1,0,0.32,1,1,1,3,Broadcast sowing,25,2,Local/traditional variety,1,1,Very poor,3,12,1,4,3,Rain water irrigation,23.04,0.32,0.96,1,Manual Equipment,2,1,Sale,2,Seed Donation,0.96,26,0.06144,0.22,0.061304832,0.61304832
5,Vatovavy,1,0,0.2,1,1,1,2,In-line transplanting,15,2,Local/traditional variety,2,1,Very poor,3,8,1,4,3,Rain water irrigation,5.6,12.2,0.6,1,Manual Equipment,2,1,Sale,2,Seed Donation,1,44,0.0384,0.18,0.03833088,0.3833088
5,Vatovavy,1,0,0.82,1,1,1,2,In-line transplanting,5,2,Local/traditional variety,2,3,Average,3,43,1,3,3,Rain water irrigation,92.66,53.3,4.1,1,Manual Equipment,2,1,Sale,1,Financial aid,3.28,82,0.015744,0.18,0.015715661,0.157156608
4,Boeny,1,0,0.72,1,1,1,3,Broadcast sowing,39,2,Local/traditional variety,1,1,Very poor,2,28,1,3,3,Rain water irrigation,71.28,14.4,5.04,1,Manual Equipment,2,1,Sale,2,Seed Donation,2.16,36,0.013824,0.1,0.013810176,0.13810176
3,Diana,2,0,2.92,1,1,3,2,In-line transplanting,43,2,Local/traditional variety,2,1,Very poor,2,137,2,3,1,Gravity irrigation,87.6,37.96,26.28,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,11.68,142,0.328792,0.18,0.328200174,3.282001744
3,Diana,2,0,2.6,1,1,3,2,In-line transplanting,48,2,Local/traditional variety,1,2,Poor,3,123,2,3,2,Motorised irrigation,182,57.2,10.4,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,7.8,106,0.29276,0.14,0.292350136,2.92350136
1,Bongolava,2,0,1.34,1,1,3,2,In-line transplanting,29,2,Local/traditional variety,2,2,Poor,2,50,1,4,2,Motorised irrigation,81.74,60.3,6.7,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,5.36,84,0.025728,0.12,0.025697126,0.256971264
4,Boeny,1,0,0.56,1,1,1,1,Random transplanting,32,2,Local/traditional variety,2,3,Average,3,32,1,3,3,Rain water irrigation,73.36,6.16,4.48,1,Manual Equipment,2,1,Sale,1,Financial aid,2.24,88,0.010752,0.1,0.010741248,0.10741248
5,Vatovavy,1,0,0.87,1,1,1,1,Random transplanting,23,2,Local/traditional variety,2,1,Very poor,2,18,1,4,3,Rain water irrigation,39.15,91.35,2.61,1,Manual Equipment,2,1,Sale,1,Financial aid,3.48,24,0.016704,0.21,0.016668922,0.166689216
5,Vatovavy,1,0,0.14,1,1,1,4,Direct row sowing,5,2,Local/traditional variety,2,2,Poor,2,13,1,1,3,Rain water irrigation,3.5,7.14,0.42,1,Manual Equipment,2,1,Sale,1,Financial aid,0.7,42,0.02688,0.23,0.026818176,0.26818176
2,Itasy,2,0,1.39,1,1,2,2,In-line transplanting,12,2,Local/traditional variety,2,2,Poor,2,66,1,3,1,Gravity irrigation,129.27,109.81,1.39,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,6.95,96,0.026688,0.11,0.026658643,0.266586432
2,Itasy,2,0,2.19,1,1,2,2,In-line transplanting,59,2,Local/traditional variety,2,2,Poor,3,66,1,4,1,Gravity irrigation,177.39,223.38,17.52,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,6.57,82,0.042048,0.13,0.041993338,0.419933376
5,Vatovavy,1,0,0.13,1,1,1,3,Broadcast sowing,6,2,Local/traditional variety,2,1,Very poor,3,6,1,4,3,Rain water irrigation,15.6,4.94,0.39,1,Manual Equipment,2,1,Sale,1,Financial aid,0.52,71,0.02496,0.17,0.024917568,0.24917568
5,Vatovavy,1,0,0.49,1,1,1,1,Random transplanting,44,2,Local/traditional variety,2,1,Very poor,3,19,1,4,3,Rain water irrigation,30.87,2.94,3.92,1,Manual Equipment,2,1,Sale,1,Financial aid,1.47,57,0.09408,0.22,0.093873024,0.93873024
4,Boeny,1,0,0.95,1,1,1,4,Direct row sowing,7,2,Local/traditional variety,2,1,Very poor,3,59,1,2,3,Rain water irrigation,48.45,89.3,7.6,1,Manual Equipment,2,2,Self-Consumption,2,Seed Donation,3.8,44,0.01824,0.1,0.01822176,0.1822176
3,Diana,2,0,2.39,1,1,3,3,Broadcast sowing,45,2,Local/traditional variety,1,3,Average,3,73,1,3,1,Gravity irrigation,57.36,131.45,19.12,2,Animal Drawn Equipment,1,3,Both,4,Support/Advice,9.56,162,0.045888,0.23,0.045782458,0.457824576
2,Itasy,2,0,1.73,1,1,2,1,Random transplanting,21,2,Local/traditional variety,1,5,Very Good,0,43,1,3,2,Motorised irrigation,115.91,67.47,8.65,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,5.19,164,0.033216,0.18,0.033156211,0.331562112
3,Diana,2,0,2.84,1,1,3,1,Random transplanting,26,2,Local/traditional variety,1,1,Very poor,2,65,1,3,2,Motorised irrigation,34.08,281.16,8.52,2,Animal Drawn Equipment,1,2,Self-Consumption,5,Vulgarisation,8.52,195,0.319784,0.15,0.319304324,3.19304324
4,Boeny,1,0,0.76,1,1,1,4,Direct row sowing,3,2,Local/traditional variety,2,1,Very poor,3,53,1,1,3,Rain water irrigation,88.16,34.2,6.84,1,Manual Equipment,2,1,Sale,2,Seed Donation,2.28,61,0.014592,0.16,0.014568653,0.145686528
5,Vatovavy,1,0,0.26,1,1,1,3,Broadcast sowing,29,2,Local/traditional variety,2,3,Average,2,12,1,3,3,Rain water irrigation,18.2,27.82,1.82,1,Manual Equipment,2,1,Sale,2,Seed Donation,1.3,38,0.04992,0.2,0.04982016,0.4982016
3,Diana,2,0,2.68,1,1,3,1,Random transplanting,50,2,Local/traditional variety,2,1,Very poor,3,88,1,3,2,Motorised irrigation,310.88,96.48,21.44,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,10.72,136,0.301768,0.2,0.301164464,3.01164464
5,Vatovavy,1,0,0.63,1,1,1,4,Direct row sowing,32,2,Local/traditional variety,2,2,Poor,3,38,1,1,3,Rain water irrigation,32.76,16.38,1.89,1,Manual Equipment,2,1,Sale,2,Seed Donation,3.15,75,0.012096,0.17,0.012075437,0.120754368
5,Vatovavy,1,0,0.61,1,1,1,2,In-line transplanting,56,2,Local/traditional variety,2,2,Poor,3,25,1,3,3,Rain water irrigation,18.3,21.96,4.88,1,Manual Equipment,2,1,Sale,2,Seed Donation,3.05,77,0.011712,0.36,0.011669837,0.116698368
1,Bongolava,2,0,4.15,1,1,2,3,Broadcast sowing,31,2,Local/traditional variety,1,5,Very Good,0,105,2,4,2,Motorised irrigation,41.5,278.05,24.9,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,12.45,108,0.46729,0.14,0.466635794,4.66635794
3,Diana,2,0,2.5,1,1,3,4,Direct row sowing,29,2,Local/traditional variety,2,2,Poor,3,151,2,2,1,Gravity irrigation,265,150,7.5,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,10,115,0.2815,0.15,0.28107775,2.8107775
3,Diana,2,0,3.95,1,1,2,4,Direct row sowing,53,2,Local/traditional variety,2,1,Very poor,3,358,4,2,2,Motorised irrigation,505.6,244.9,39.5,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,11.85,114,0.44477,0.17,0.444013891,4.44013891
5,Vatovavy,1,0,0.84,1,1,1,2,In-line transplanting,60,2,Local/traditional variety,2,3,Average,3,48,1,4,3,Rain water irrigation,122.64,84.84,5.04,1,Manual Equipment,2,1,Sale,2,Seed Donation,2.52,32,0.016128,0.19,0.016097357,0.160973568
4,Boeny,1,0,0.93,1,1,1,4,Direct row sowing,35,2,Local/traditional variety,1,3,Average,3,83,1,1,3,Rain water irrigation,103.23,87.42,0.93,1,Manual Equipment,2,3,Both,1,Financial aid,2.79,79,0.017856,0.18,0.017823859,0.178238592
1,Bongolava,2,0,3.86,1,1,2,3,Broadcast sowing,4,2,Local/traditional variety,2,5,Very Good,0,151,2,3,1,Gravity irrigation,528.82,420.74,3.86,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,15.44,170,0.434636,0.21,0.433723264,4.337232644
5,Vatovavy,1,0,0.75,1,1,1,1,Random transplanting,38,2,Local/traditional variety,2,2,Poor,2,18,1,4,3,Rain water irrigation,105.75,33.75,6.75,1,Manual Equipment,2,1,Sale,1,Financial aid,3,88,0.0144,0.13,0.01438128,0.1438128
2,Itasy,2,0,1.29,1,1,2,1,Random transplanting,35,2,Local/traditional variety,1,3,Average,2,36,1,3,2,Motorised irrigation,70.95,87.72,11.61,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,6.45,197,0.024768,0.14,0.024733325,0.247333248
2,Itasy,2,0,4.95,1,1,2,4,Direct row sowing,57,2,Local/traditional variety,2,3,Average,2,420,5,1,1,Gravity irrigation,207.9,297,49.5,3,Motorized Equipment,1,2,Self-Consumption,2,Seed Donation,24.75,185,0.55737,0.2,0.55625526,5.5625526
1,Bongolava,2,0,2.09,1,1,2,1,Random transplanting,17,2,Local/traditional variety,2,4,Good,0,103,2,4,2,Motorised irrigation,75.24,43.89,12.54,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,8.36,101,0.040128,0.17,0.040059782,0.400597824
4,Boeny,1,0,0.27,1,1,1,3,Broadcast sowing,44,2,Local/traditional variety,2,1,Very poor,2,8,1,3,3,Rain water irrigation,23.76,24.3,1.08,1,Manual Equipment,2,1,Sale,1,Financial aid,1.08,37,0.05184,0.19,0.051741504,0.51741504
5,Vatovavy,1,0,0.67,1,1,1,4,Direct row sowing,24,2,Local/traditional variety,1,2,Poor,3,53,1,1,3,Rain water irrigation,48.91,34.84,4.02,1,Manual Equipment,2,1,Sale,2,Seed Donation,2.01,37,0.012864,0.17,0.012842131,0.128421312
3,Diana,2,0,3.78,1,1,3,4,Direct row sowing,17,2,Local/traditional variety,2,3,Average,2,368,4,1,1,Gravity irrigation,253.26,211.68,11.34,2,Animal Drawn Equipment,1,2,Self-Consumption,4,Support/Advice,18.9,149,0.425628,0.12,0.425117246,4.251172464
1,Bongolava,2,0,4.57,1,1,2,2,In-line transplanting,48,2,Local/traditional variety,1,2,Poor,3,164,2,4,1,Gravity irrigation,100.54,164.52,13.71,3,Motorized Equipment,1,2,Self-Consumption,5,Vulgarisation,13.71,88,0.514582,0.22,0.51344992,5.134499196
4,Boeny,1,0,0.79,1,1,1,1,Random transplanting,23,2,Local/traditional variety,2,3,Average,3,44,1,4,3,Rain water irrigation,40.29,86.9,5.53,1,Manual Equipment,2,1,Sale,1,Financial aid,3.95,37,0.015168,0.36,0.015113395,0.151133952
3,Diana,2,0,2.97,1,1,3,3,Broadcast sowing,7,2,Local/traditional variety,2,3,Average,3,92,1,4,1,Gravity irrigation,225.72,11.88,17.82,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,8.91,169,0.334422,0.17,0.333853483,3.338534826
2,Itasy,2,0,1.3,1,1,2,1,Random transplanting,23,2,Local/traditional variety,2,2,Poor,2,76,1,4,1,Gravity irrigation,113.1,117,2.6,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,6.5,100,0.02496,0.18,0.024915072,0.24915072
2,Itasy,2,0,2.36,1,1,2,1,Random transplanting,57,2,Local/traditional variety,2,5,Very Good,0,131,2,3,2,Motorised irrigation,299.72,210.04,2.36,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,11.8,176,0.045312,0.21,0.045216845,0.452168448
3,Diana,2,0,2.43,1,1,2,1,Random transplanting,32,2,Local/traditional variety,2,3,Average,3,91,1,3,2,Motorised irrigation,157.95,252.72,7.29,2,Animal Drawn Equipment,1,3,Both,4,Support/Advice,12.15,148,0.046656,0.17,0.046576685,0.465766848
1,Bongolava,2,0,2.18,1,1,3,1,Random transplanting,14,2,Local/traditional variety,2,3,Average,3,128,2,4,2,Motorised irrigation,152.6,58.86,10.9,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,8.72,139,0.041856,0.36,0.041705318,0.417053184
2,Itasy,2,0,2.51,1,1,3,2,In-line transplanting,63,2,Local/traditional variety,2,4,Good,0,105,2,3,2,Motorised irrigation,25.1,40.16,17.57,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,12.55,118,0.282626,0.23,0.28197596,2.819759602
5,Vatovavy,1,0,0.21,1,1,1,3,Broadcast sowing,18,1,Improved seed,3,1,Very poor,2,7,1,3,3,Rain water irrigation,4.83,20.37,1.05,1,Manual Equipment,2,1,Sale,1,Financial aid,1.05,62,0.04032,0.14,0.040263552,0.40263552
3,Diana,2,0,3.71,1,1,2,2,In-line transplanting,5,2,Local/traditional variety,2,2,Poor,2,222,3,3,2,Motorised irrigation,552.79,345.03,37.1,2,Animal Drawn Equipment,1,2,Self-Consumption,5,Vulgarisation,18.55,110,0.417746,0.36,0.416242114,4.162421144
3,Diana,2,0,2.98,1,1,3,3,Broadcast sowing,6,2,Local/traditional variety,2,3,Average,3,98,1,3,2,Motorised irrigation,303.96,286.08,8.94,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,8.94,141,0.335548,0.11,0.335178897,3.351788972
2,Itasy,2,0,4.48,1,1,3,4,Direct row sowing,26,2,Local/traditional variety,1,3,Average,3,357,4,1,2,Motorised irrigation,452.48,389.76,40.32,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,17.92,108,0.504448,0.14,0.503741773,5.037417728
1,Bongolava,2,0,3.34,1,1,3,1,Random transplanting,57,2,Local/traditional variety,2,2,Poor,3,175,2,4,1,Gravity irrigation,90.18,146.96,10.02,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,13.36,95,0.376084,0.13,0.375595091,3.755950908
5,Vatovavy,1,0,0.24,1,1,1,4,Direct row sowing,31,2,Local/traditional variety,1,2,Poor,2,21,1,2,3,Rain water irrigation,27.36,21.6,2.4,1,Manual Equipment,2,1,Sale,2,Seed Donation,0.96,50,0.04608,0.19,0.045992448,0.45992448
1,Bongolava,2,0,3.53,1,1,2,4,Direct row sowing,44,2,Local/traditional variety,2,5,Very Good,0,262,3,1,1,Gravity irrigation,335.35,120.02,21.18,2,Animal Drawn Equipment,1,2,Self-Consumption,4,Support/Advice,14.12,119,0.397478,0.16,0.396842035,3.968420352
4,Boeny,1,0,0.39,1,1,1,3,Broadcast sowing,5,2,Local/traditional variety,2,3,Average,3,16,1,3,3,Rain water irrigation,30.42,24.18,2.34,1,Manual Equipment,2,1,Sale,1,Financial aid,1.95,60,0.07488,0.15,0.07476768,0.7476768
4,Boeny,1,0,0.33,1,1,1,2,In-line transplanting,30,2,Local/traditional variety,2,2,Poor,3,17,1,3,3,Rain water irrigation,35.97,28.71,1.32,1,Manual Equipment,2,1,Sale,1,Financial aid,0.99,42,0.06336,0.19,0.063239616,0.63239616
2,Itasy,2,0,2.79,1,1,2,2,In-line transplanting,47,2,Local/traditional variety,2,5,Very Good,0,102,2,3,1,Gravity irrigation,217.62,225.99,2.79,2,Animal Drawn Equipment,1,3,Both,5,Vulgarisation,13.95,86,0.314154,0.11,0.313808431,3.138084306
2,Itasy,2,0,1.92,1,1,2,4,Direct row sowing,1,2,Local/traditional variety,2,5,Very Good,0,129,2,2,2,Motorised irrigation,213.12,103.68,11.52,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,9.6,99,0.036864,0.21,0.036786586,0.367865856
2,Itasy,2,0,1.95,1,1,3,4,Direct row sowing,52,2,Local/traditional variety,1,4,Good,0,141,2,1,1,Gravity irrigation,42.9,56.55,5.85,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,9.75,101,0.03744,0.18,0.037372608,0.37372608
4,Boeny,1,0,0.61,1,1,1,2,In-line transplanting,43,2,Local/traditional variety,2,1,Very poor,2,15,1,4,3,Rain water irrigation,57.95,51.85,4.27,1,Manual Equipment,2,1,Sale,2,Seed Donation,1.83,88,0.011712,0.14,0.011695603,0.116956032
1,Bongolava,2,0,2.4,1,1,2,4,Direct row sowing,33,2,Local/traditional variety,2,5,Very Good,0,204,3,2,2,Motorised irrigation,36,67.2,9.6,2,Animal Drawn Equipment,1,2,Self-Consumption,4,Support/Advice,12,87,0.04608,0.15,0.04601088,0.4601088
